Away Team,Visitor Pts,Home Team,Home Pts,Home Win,Away Pts For,Away Pts Allowed,Away Cover,Away Pace,Away TS,Away eFG,Away 3PAR,Away ft Rate,away orb,away drb,away trb,away AST,away STL,away BLK,Away TOV,away off rtg,away def rtg,Away Travel,Away Inactive,Away ELO,Home Pts For,Home pts allowed,Home Covers,Home Pace,Home TS,Home EFG,Home 3PAR,home ft rate,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home offRtg,Home def RTG,Home Travel,Home Inactive,Home ELO
New Orleans Pelicans,112,Houston Rockets,114,1,122.667,124.667,0.333,100.4,0.581,0.555,0.371,0.209,30.2,84.433,56.767,67.467,6.267,8.033,12.2,117.933,120.033,316.702,4,1346.188395,99.333,110,0,97.933,0.502,0.454,0.369,0.324,28,76.833,51.167,49.633,9.5,8.867,14.367,101.4,112.2,0,3,1259.339012
Memphis Grizzlies,126,San Antonio Spurs,120,0,117.667,118.333,0.333,100.833,0.584,0.564,0.316,0.274,29.433,76.2,52.633,46.633,7.9,9.267,13.633,116.933,117.267,1144.222,4,1463.501928,99.333,122,0.333,97.967,0.525,0.485,0.372,0.235,17.2,70.267,40.633,50.433,7.2,8.067,12.8,101.4,124.633,0,5,1229.976616
Boston Celtics,126,Portland Trail Blazers,112,0,116,110.333,0.667,100.8,0.571,0.544,0.435,0.22,21.2,75.467,48.667,55.1,9.167,7.167,9.767,115.067,109.7,1422.008,5,1512.184182,111,103.333,0.667,91.067,0.59,0.543,0.404,0.302,22.8,85.467,54.2,71.567,7.867,13.7,11.3,115.167,106.5,0,4,1335.666989
Dallas Mavericks,111,Los Angeles Lakers,110,0,116.667,109.333,1,98,0.619,0.586,0.489,0.343,18.367,81.533,51.833,69.333,5.033,10.133,12.033,119.1,111.533,1205.963,3,1391.115355,123.667,117,0.333,98.433,0.632,0.604,0.501,0.312,17.867,71.933,45.467,53.767,6.767,6,9.4,125.733,119.133,1372.899,4,1403.820801
Denver Nuggets,110,New York Knicks,116,1,114.333,109,1,92.833,0.587,0.547,0.372,0.323,25.333,83.367,55.467,64.9,8.1,12.933,11.433,118.767,113.2,481.083,2,1489.212771,114,111.667,0.667,93,0.584,0.545,0.439,0.329,26.9,80,53.267,63.667,6.6,2.5,11.033,118.267,115.367,2438.169,2,1490.872062
Orlando Magic,113,Los Angeles Clippers,108,0,105.333,114.667,0.333,101.3,0.51,0.468,0.407,0.201,26.1,68.033,45.2,57.567,9.2,10,12.333,104,113.167,358.327,2,1366.67667,118.667,116.667,0.333,101.767,0.607,0.587,0.338,0.325,18.2,74.667,48.167,60.867,4.833,7.1,12.433,116.433,114.5,0,4,1420.807464
Philadelphia 76ers,141,Indiana Pacers,121,0,101.667,111,0.333,97.7,0.546,0.5,0.329,0.274,26.667,81.1,54.533,53.233,5.033,12.633,15.5,104.167,113.833,427.97,4,1558.995515,119.667,127,0.333,106.333,0.551,0.507,0.4,0.29,23.667,75.5,48.433,56.8,7.567,12.467,10.2,112.6,119.133,244.261,5,1357.790208
Minnesota Timberwolves,107,Toronto Raptors,122,1,103.667,108,0.333,93.5,0.544,0.533,0.572,0.142,19.967,72.3,45.267,65.267,8.233,4.467,9.567,110.767,115.8,437.865,3,1390.112423,113,123,0,94.733,0.572,0.526,0.302,0.296,26.533,73.233,47.633,49.933,6,4.7,9.7,119.267,129.867,0,3,1417.82037
Miami Heat,99,Chicago Bulls,113,1,111,120.333,0.333,102.4,0.551,0.505,0.324,0.292,27.267,73.567,49.3,57.833,10.433,5.9,14.433,108.367,117.467,1191.312,5,1431.52894,114.333,108.667,0.333,101.467,0.581,0.547,0.273,0.232,20.8,86.533,54.033,62.267,8.8,7.467,12.1,112.767,107.267,0,5,1391.80168
Golden State Warriors,119,Memphis Grizzlies,133,1,113,122,0.333,102.667,0.61,0.562,0.477,0.238,13.733,78.267,46.267,67.133,5.533,5.9,17.133,109.967,118.767,335.948,5,1404.878422,126.333,111.667,0.667,99.367,0.574,0.548,0.397,0.242,35.2,74.367,55.233,59,6.167,10.6,10.433,123.4,109.1,628.672,5,1469.428806
Sacramento Kings,132,Washington Wizards,118,0,124,102.333,1,97.6,0.643,0.617,0.348,0.191,27.133,86.967,58.6,66.867,7.867,8.967,12.367,127,105.1,203.325,3,1499.308062,108.667,112,0.333,97.433,0.56,0.511,0.38,0.268,22,77.767,50.267,59.7,5.1,5.233,11.567,111.4,114.667,304.745,3,1363.743735
Boston Celtics,117,Utah Jazz,118,1,108.333,111.333,0.333,100.267,0.554,0.521,0.473,0.257,16.133,75.067,46.1,61.9,8.867,8.467,11.3,107.7,111.4,633.88,5,1498.546269,116.667,128.667,0.333,94.3,0.555,0.536,0.286,0.183,31.667,73.3,50.3,65.1,5.067,5.9,8.133,120.9,132.9,2087.688,3,1379.724849
Denver Nuggets,108,Brooklyn Nets,102,0,118,115.667,0.667,92.733,0.598,0.569,0.382,0.292,28.9,76.6,51.6,68.033,7.4,8.3,11.233,122.8,120.433,4.785,2,1497.436148,100.667,101.667,0.333,99.5,0.529,0.488,0.463,0.276,9.4,80.133,44.733,62.767,8.233,11.5,8.733,101.4,102.033,0,3,1426.824551
Phoenix Suns,120,Oklahoma City Thunder,124,1,114.667,103.333,1,96.933,0.638,0.61,0.397,0.239,16.833,75.533,48.567,62.133,11.367,10.133,14.033,118.333,106.5,840.167,3,1431.316512,116.667,102,0.667,93.633,0.613,0.578,0.398,0.303,32.733,77.333,56.367,55.667,6.3,5.567,12.667,124.733,109.533,1115.817,4,1413.922995
Atlanta Hawks,118,San Antonio Spurs,126,1,115.333,118.333,0.667,101.467,0.584,0.546,0.324,0.239,15.733,74.667,45.567,50.4,7.9,9.567,10.8,113.9,116.433,877.999,4,1387.031506,94,120.667,0.333,99.933,0.49,0.453,0.392,0.208,15.8,73.967,41.833,49.7,5.333,9.633,13.2,94.1,120.733,0,5,1242.001677
Miami Heat,112,Detroit Pistons,100,0,107.333,119.333,0,99.9,0.554,0.517,0.341,0.236,20.667,74.667,47.033,56.233,8.567,8.5,13.367,107.633,119.6,238.866,2,1435.723333,108,114,0.333,94.2,0.567,0.534,0.322,0.24,31.467,75.767,51.6,64.133,7.1,8.4,13.733,114.867,121.167,0,5,1201.072114
New Orleans Pelicans,117,Houston Rockets,107,0,128.333,119.333,0.667,101.5,0.578,0.535,0.283,0.3,35.733,80.067,57.533,60.933,8.9,10.133,10.767,122.3,113.367,0,4,1353.46079,105.667,116,0.333,98.8,0.525,0.472,0.392,0.344,26.433,77.3,50.867,53.833,10.767,6.467,12.433,106.833,117.233,0,3,1248.960688
Toronto Raptors,111,Milwaukee Bucks,118,1,110.667,105.667,1,92,0.57,0.53,0.419,0.225,27.567,82.367,53.733,54.967,8.1,6.867,11.167,116.9,111.433,430.846,5,1411.827796,110,102,0.667,98.8,0.55,0.497,0.43,0.317,31.733,82.733,56.467,59.367,9.333,8.933,14.033,111.333,103.3,0,4,1565.318363
Los Angeles Clippers,117,Portland Trail Blazers,102,0,111.667,112.667,0.667,102.033,0.534,0.488,0.34,0.267,27.467,82.567,55.2,54.7,6.233,8.933,10.833,109.533,110.667,827.135,4,1428.124134,112.667,109,0.667,90.8,0.615,0.564,0.425,0.32,25.233,79.5,53.4,70.767,8.267,11.4,13.9,117.4,113.133,0,3,1325.239558
Orlando Magic,105,Los Angeles Lakers,111,1,113.667,117,0.667,105.067,0.536,0.484,0.382,0.288,30.167,69.167,47.133,50.433,10.833,7.267,14.733,107.767,111.233,0,2,1357.919076,124,117,0.333,99.8,0.62,0.598,0.482,0.299,16.633,76.833,46.233,57.8,6.7,7.367,8.667,124.3,117.3,0,4,1410.066472
Indiana Pacers,109,Charlotte Hornets,115,1,109,116.667,0,97.367,0.56,0.509,0.401,0.293,26.5,69.267,47.733,60.133,9.467,9.167,13.4,112.267,120.4,427.97,4,1346.267713,120.667,125.333,0.333,103.267,0.636,0.627,0.405,0.297,13.733,66.533,43.467,64.2,7.767,8.533,13.9,116.667,121.3,0,4,1304.4788
Chicago Bulls,109,Philadelphia 76ers,105,0,117,114.333,0.667,99.2,0.568,0.529,0.349,0.235,21.433,76.767,47.767,58.467,6.533,12.5,10.067,114.233,111.4,666.572,6,1405.886902,109,111.667,0.333,95.567,0.572,0.535,0.396,0.209,33.733,75.067,55.767,55.8,3.767,10.1,14.933,114.267,116.667,582.51,3,1542.531774
Minnesota Timberwolves,140,New York Knicks,134,0,99.667,111,0,92.233,0.546,0.527,0.56,0.148,16.4,68.467,41.467,65.033,7.233,5.267,11.067,108.067,120.467,340.421,4,1402.52613,120.667,117,0.667,93.8,0.578,0.532,0.42,0.39,30.633,78.6,53.5,56.8,5.833,4.867,7.467,124.333,120,0,2,1475.661178
Golden State Warriors,121,Houston Rockets,108,0,120.333,124,0,103.233,0.626,0.595,0.509,0.179,17,77.733,47.333,72.767,5.833,8.967,15.233,116.733,120.133,484.077,6,1410.472569,113,116,0.667,99,0.551,0.484,0.409,0.381,35.7,80.333,57.6,57.067,10.1,7.233,13.9,113.867,116.967,0,4,1240.556376
Dallas Mavericks,108,Memphis Grizzlies,112,1,117.667,114,0.667,97.533,0.59,0.559,0.489,0.305,19.533,84.833,51.467,69.3,4.767,10.233,8.033,120.567,116.567,1601.47,3,1383.475868,122.333,106.667,0.667,98.533,0.584,0.552,0.349,0.245,32,74.6,54,54.667,7.133,8.567,10.167,123.967,108.467,0,5,1474.704246
Sacramento Kings,120,Utah Jazz,128,1,121.333,106.667,0.667,99.467,0.628,0.605,0.327,0.149,27.3,85.233,57.933,68.433,7.367,9.033,14.2,121.9,107.333,1843.086,2,1486.269295,111,124.667,0,98.567,0.533,0.515,0.279,0.158,26.933,79.133,51.167,63.7,5.567,5.8,11.667,108.933,122.367,0,3,1390.287903
Washington Wizards,112,Orlando Magic,122,1,117.667,119.333,0.667,98.6,0.59,0.541,0.369,0.383,27.267,73.5,52.1,62.9,6.033,7.1,12.533,119.433,120.833,758.157,4,1353.78775,116.667,113.333,1,97.867,0.575,0.538,0.295,0.28,24.6,77.4,52.9,51.1,5.9,9.333,11.133,115.3,112,2198.731,2,1365.272982
Detroit Pistons,107,Atlanta Hawks,129,1,111,118,0.667,98.533,0.609,0.576,0.398,0.277,15.933,73.867,46.267,59.267,4.733,8.8,15.167,112.767,119.933,597.568,5,1196.036272,119.333,114.333,0.667,101.833,0.562,0.534,0.324,0.229,20.533,80.033,48.467,53.133,6.867,10.767,6.067,117.067,112.133,877.999,4,1390.264201
Cleveland Cavaliers,115,Brooklyn Nets,109,0,117.333,116.667,0.667,94.8,0.635,0.597,0.384,0.24,23.9,79.067,53.267,51.467,5.3,7.933,12.267,123.633,123.167,405.442,3,1487.167739,100,98.333,0.333,93.733,0.536,0.498,0.461,0.241,14.233,81.433,46.167,62.433,8.233,10.2,7.3,106.733,105.267,0,3,1415.455997
San Antonio Spurs,84,New Orleans Pelicans,119,1,110.667,128.333,0,100.733,0.568,0.531,0.437,0.223,20.633,68.267,42.067,61.5,10.233,7.767,12.6,109.867,127.367,502.738,5,1235.222369,117.667,114,0.333,95.167,0.61,0.585,0.391,0.235,21.367,70,47.3,63.567,6.767,8.7,12.567,119.767,115.933,316.702,4,1358.029182
Boston Celtics,132,Sacramento Kings,109,0,107.333,118,0.333,98.167,0.541,0.511,0.478,0.265,16.2,77.733,45.767,61.733,6.233,7.867,11.667,105.3,116.4,532.051,4,1507.835123,113.333,110.333,0.667,96.4,0.563,0.509,0.261,0.294,27.133,77.733,52,53.967,7.867,5.7,9.3,117.867,115,532.051,2,1473.796743
Oklahoma City Thunder,101,Los Angeles Clippers,100,0,130,110.333,1,99.067,0.615,0.58,0.361,0.249,36.433,77.067,56.8,53.2,8.4,5.833,10.667,131.2,111.267,1180.024,4,1423.952573,116.667,109.333,0.667,100.5,0.587,0.561,0.332,0.355,20.767,71.5,48.867,66.3,4.933,7.233,10.767,115.967,108.967,827.135,5,1414.950637
Denver Nuggets,118,Washington Wizards,104,0,109.667,114,0.333,94.867,0.585,0.569,0.365,0.236,23.733,79.6,50.233,62.933,7.767,6.667,12.367,115.867,120.133,203.325,2,1503.310994,121.333,119,0.333,99.567,0.594,0.553,0.406,0.27,20.033,76.8,48.867,63.5,5.3,6.5,8.667,121.7,119.433,758.157,3,1345.037484
Golden State Warriors,127,Dallas Mavericks,125,0,109.667,126,0,102.467,0.596,0.558,0.528,0.205,14.033,75.633,44.533,71.567,7.167,9.267,18.033,107.133,123,226.783,6,1419.352831,122.667,130.667,0.333,98.167,0.607,0.577,0.487,0.254,22,76.7,47.967,64.4,4.367,5.7,8.2,124.833,133.3,419.869,3,1371.40505
New York Knicks,120,Miami Heat,127,1,115,109.667,0.667,96.9,0.59,0.565,0.386,0.2,20.733,86.633,53.467,45.267,4.133,7.4,10.2,118.6,113.5,1093.695,2,1464.752742,121.333,104.333,1,101.333,0.574,0.556,0.39,0.143,25.067,76.233,51.133,58.867,9.467,8.467,8.767,119.867,102.933,1155.76,2,1444.011623
Indiana Pacers,118,Toronto Raptors,114,0,110.333,118,0.333,92.8,0.598,0.556,0.413,0.322,23.833,66.233,45.267,60.833,7.4,9.7,13.2,118.767,127.167,586.859,4,1357.728695,109.667,123,0,94.9,0.538,0.498,0.304,0.264,31.4,65.767,47.833,54.033,8.067,7.567,9.5,115.533,129.6,430.846,2,1397.393272
Philadelphia 76ers,116,Chicago Bulls,91,0,107,112.333,0.667,97.967,0.584,0.534,0.352,0.283,23.667,80.967,53.567,57.067,4.333,12.367,15.667,109.467,114.933,666.572,4,1548.570447,126.667,111,0.667,102.6,0.654,0.633,0.327,0.232,15.8,86.1,54.5,60.667,9.4,7.033,11.367,123.933,108.333,666.572,6,1396.937733
