Away Team,Visitor Pts,Home Team,Home Pts,Home Win,Away Pts For,Away Pts Allowed,Away Cover,Away Pace,Away TS,Away eFG,Away 3PAR,Away ft Rate,away orb,away drb,away trb,away AST,away STL,away BLK,Away TOV,away off rtg,away def rtg,Away Travel,Away Inactive,Away ELO,Home Pts For,Home pts allowed,Home Covers,Home Pace,Home TS,Home EFG,Home 3PAR,home ft rate,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home offRtg,Home def RTG,Home Travel,Home Inactive,Home ELO
Golden State Warriors,113,Charlotte Hornets,120,1,105,134,0,101,0.533,0.505,0.385,0.187,22.7,68.2,45.5,68.3,6.9,11.1,11.7,104,132.7,2295.618,3,1487.876605,112,124,0,101.6,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.9,6,11.2,110.2,122,463.081,3,1493.533286
Indiana Pacers,125,Brooklyn Nets,116,0,114.333,119,0.333,95.667,0.525,0.483,0.424,0.315,33.467,80,55.367,56.067,6.5,5.067,11.033,111.5,116.667,203.325,3,1483.192898,114,121.333,0.333,96.533,0.573,0.53,0.395,0.319,25.633,73.467,48.567,56.633,7.533,17,12.333,114.3,121.3,0,3,1451.483164
Philadelphia 76ers,114,Chicago Bulls,109,0,108.333,115.667,0.333,100.833,0.543,0.493,0.373,0.248,23.233,72.633,47.367,65.8,8.3,7.667,12.667,107.467,114.867,437.865,2,1484.713351,124,114.667,0.667,100.367,0.589,0.552,0.442,0.267,30.867,76.467,52.767,62.767,9.6,6.933,10.6,123.567,114.233,1049.608,4,1478.668751
Atlanta Hawks,115,Milwaukee Bucks,123,1,127,112.5,0.5,99.15,0.613,0.584,0.27,0.231,25.65,74.85,52.6,52.65,5.5,17.55,7.95,128.3,113.45,251.592,2,1508.595778,109.333,120,0.333,99.433,0.571,0.537,0.34,0.219,12.8,71.833,44.533,60.733,4.533,7.9,12.733,106.067,117.1,0,4,1535.990742
Oklahoma City Thunder,117,Dallas Mavericks,111,0,112.5,118.5,1,104.6,0.53,0.491,0.43,0.233,24.7,77.45,50.7,63.45,7.6,10.65,10.5,107.55,113.25,189.03,3,1494.15442,137,96,1,99.6,0.647,0.594,0.433,0.4,39.5,86,64.2,51.1,7,15.2,12.4,137.5,96.3,1371.81,3,1484.686497
Memphis Grizzlies,123,Utah Jazz,124,1,107,119.333,0.333,100.267,0.541,0.503,0.501,0.29,22.9,71.4,47.533,58.4,5.967,7.3,12.1,106.433,118.733,532.051,5,1511.003186,116,101.5,0.5,103,0.582,0.548,0.479,0.353,27.25,75.6,53.55,69,10.15,5.45,14.55,112.8,98.6,370.186,4,1518.569423
New Orleans Pelicans,112,Los Angeles Clippers,91,0,106,112.333,0,96.467,0.517,0.496,0.333,0.17,31.933,79.133,54.633,48.467,5.733,10.467,12.933,106.1,112.6,358.327,5,1512.704721,95,112,0,94.6,0.523,0.494,0.39,0.244,20,72.3,46.7,44.4,10.6,0,13.4,100.4,118.4,1180.024,3,1471.64577
Washington Wizards,94,Boston Celtics,112,1,110.5,112,0.5,97.95,0.564,0.54,0.33,0.217,21.45,71.25,49,54.05,6.8,12.25,14.8,107.5,109,393.613,2,1489.431964,124.5,124.5,0.5,97.35,0.654,0.613,0.415,0.366,15.7,82.25,49.2,59.45,8.25,5.15,13.05,121.85,121.55,0,4,1508.397122
New York Knicks,108,Cleveland Cavaliers,121,1,110,117,0.5,99.8,0.492,0.454,0.358,0.255,26.55,66.3,46.6,57.5,6.2,8.2,9.7,104.9,111.65,335.831,3,1492.890121,110,99.5,1,93.8,0.531,0.483,0.362,0.303,30.35,82.25,53.9,57.85,8.05,6.9,10.75,111.4,100.7,549.163,4,1530.029091
Golden State Warriors,114,Detroit Pistons,128,1,109,127,0,98.35,0.531,0.505,0.413,0.174,21.35,70.2,46.3,69.4,7.25,9.8,10.1,105.5,123.15,505.925,2,1477.123361,112.333,108,0.333,96.333,0.581,0.547,0.379,0.233,17.867,74.733,46.067,62.3,7.3,7.367,9.1,116.733,112.1,0,3,1461.656555
Minnesota Timberwolves,98,San Antonio Spurs,107,1,116,106,1,100.4,0.594,0.58,0.386,0.25,27.9,79.2,56.3,52.2,9,5.7,13.3,115.5,105.5,1110.932,4,1495.310956,115.5,126.5,0.5,104.65,0.567,0.534,0.393,0.257,25.2,68.8,48.15,67.7,7.15,8.25,14.6,110.3,120.9,0,5,1519.131783
Orlando Magic,105,Dallas Mavericks,114,1,114.667,112,0.667,95.433,0.536,0.498,0.503,0.311,28.7,73.3,48.333,56.567,7.5,6.467,8.833,116.167,113.233,961.687,6,1450.93468,124,106.5,0.5,98.9,0.576,0.518,0.427,0.379,31.75,83.2,57.6,47.9,7.2,11.5,12.55,119.9,102.1,0,2,1491.245243
Houston Rockets,109,Phoenix Suns,124,1,124.333,118,0.667,103.767,0.618,0.587,0.486,0.249,26.567,81.9,55.9,64.7,6.733,9.167,13.733,119.833,113.767,1006.302,4,1452.448267,103.333,121.667,0,95.6,0.57,0.519,0.429,0.323,17.133,69.533,40.2,61.267,7.333,8.6,14.733,108.067,127.167,0,3,1527.532047
Denver Nuggets,110,Los Angeles Lakers,121,1,120.333,130.333,0.333,96.2,0.609,0.59,0.49,0.26,13.367,74.9,44.2,64.267,3.6,8,10.467,117.967,128.6,830.829,2,1500.430094,100.5,104.5,0,102.1,0.488,0.439,0.419,0.247,17.35,72.4,41.55,66.55,10.75,12.8,10.05,98.55,102.45,1522.459,4,1457.358122
Sacramento Kings,115,Charlotte Hornets,108,0,125,130,1,108.8,0.563,0.525,0.43,0.25,29.5,86.4,58,66,9.2,3.7,12.6,114.9,119.5,2240.268,3,1472.410247,116,118.5,0.5,98.65,0.531,0.496,0.328,0.224,25.1,71.7,47,71.3,5.4,4.8,9.6,111.9,114.5,0,3,1479.915819
Philadelphia 76ers,118,Washington Wizards,111,0,106,118,0.333,98.2,0.547,0.499,0.371,0.243,21.633,72.433,46.733,63.1,7.133,6.433,12.2,108.2,120.167,596.84,3,1494.477168,108,120.667,0,98.533,0.542,0.511,0.394,0.263,22.333,68.733,43.5,66.367,7.767,10.1,11.533,109.567,122.467,393.613,2,1476.505991
Indiana Pacers,109,Brooklyn Nets,116,1,108,112,0.333,95.233,0.517,0.471,0.42,0.282,36.1,81.867,57.167,57.6,7.3,4.3,9.5,113.267,117.6,0,3,1472.513236,116.667,119.667,0.333,93.5,0.599,0.556,0.43,0.334,24.267,74.6,48.6,61.867,6.433,18.867,10.667,120.567,123.633,0,5,1459.542539
Atlanta Hawks,109,Toronto Raptors,139,1,121,111.333,0.667,101.433,0.62,0.577,0.368,0.345,19.833,78.033,52.3,56.033,7.233,10.067,13.033,119.3,109.667,430.846,2,1498.248052,115.667,116.333,0.333,98.267,0.577,0.541,0.297,0.245,30.933,83.5,57.133,53.367,7.9,6.433,12.133,117.767,118.533,0,2,1496.50966
Detroit Pistons,108,Milwaukee Bucks,110,1,119.333,109,0.667,92.567,0.599,0.556,0.445,0.285,33.467,76.367,53.2,64.7,6.867,12.4,9.567,129.867,117.633,251.592,4,1453.911072,123,121.333,0.667,98.467,0.606,0.569,0.308,0.239,22.767,70.333,47.3,49.867,7,9.333,9.967,121.433,119.7,0,4,1541.355629
Memphis Grizzlies,105,Utah Jazz,121,1,111.667,125,0.333,100,0.575,0.542,0.462,0.312,25.133,71.067,48.833,57.333,6.667,7.3,13.333,111.567,124.933,0,5,1501.42217,121.667,124,0.333,96.967,0.613,0.578,0.478,0.28,22.3,72.067,47.033,64.667,6.8,4.967,8.067,125.3,128.067,0,5,1525.568686
Houston Rockets,93,Los Angeles Clippers,95,1,115.667,122.667,0.333,104.133,0.559,0.525,0.481,0.239,25.767,75.533,49.2,62.633,6.733,6.667,13.9,111.133,117.833,358.327,4,1443.192216,93,112,0,94.3,0.51,0.489,0.422,0.198,18.7,72.2,45.25,55.55,6.9,5.25,13.3,98.6,118.75,0,3,1478.343545
Chicago Bulls,108,Brooklyn Nets,99,0,120.667,120.333,0.333,103.533,0.6,0.56,0.442,0.303,21.767,76.233,49.1,69,5.2,13.067,12.133,116.867,115.667,715.336,3,1487.767074,119,121,0,97.2,0.621,0.573,0.409,0.297,20.7,73.667,48.2,59.233,8.867,17.4,12.433,118.667,120.933,0,4,1447.255954
Golden State Warriors,109,Miami Heat,116,1,105.333,102.667,1,96.833,0.547,0.516,0.407,0.175,25.133,77.367,49.667,55.067,6.567,3.033,12.6,109,106.033,1155.76,3,1466.895156,116.333,109,0.667,97.7,0.613,0.562,0.342,0.458,23.6,74.8,52.1,62.067,6.167,8.2,12.067,119.067,111.6,2547.845,3,1469.193331
Orlando Magic,108,Oklahoma City Thunder,116,1,111.667,106,0.667,94.6,0.556,0.515,0.49,0.338,28,70.5,47.9,52.8,7,8.933,9.867,118.1,112.1,189.03,5,1442.344657,121.667,114,0.667,98.967,0.617,0.573,0.366,0.424,25.633,84.267,54.933,53.867,8.733,8.9,11.6,122.967,115.167,189.03,3,1500.250864
Minnesota Timberwolves,107,Phoenix Suns,116,1,107,106.5,0.5,99.4,0.525,0.502,0.34,0.226,28.75,73.3,51.35,52.35,10.1,10.45,11.3,107.55,107.1,849.569,3,1486.417095,104.333,122.333,0.333,99.067,0.551,0.495,0.397,0.315,19.6,75.333,43.833,62.267,7.4,5.733,13.967,105.367,123.867,0,3,1533.900084
Washington Wizards,121,Philadelphia 76ers,111,0,114.667,113.333,0.667,100.267,0.582,0.552,0.34,0.259,16.233,74.1,47.1,63.333,7.567,13.333,9.233,114.533,113.133,120.618,5,1486.641272,113,109.333,1,97.733,0.569,0.517,0.384,0.361,22.833,74.633,49.033,59.7,7.9,5.6,11.233,115.6,111.867,120.618,3,1481.206427
Boston Celtics,113,Cleveland Cavaliers,114,1,120.333,117.667,0.333,98.8,0.581,0.562,0.36,0.216,28.033,83.467,53.233,52.767,9.2,14.1,9.867,121.8,118.7,549.163,4,1499.208934,114,109,0.667,99.833,0.598,0.563,0.363,0.25,17.833,77.833,49.7,61.3,6.067,6.667,13.3,114.333,109.567,0,3,1536.664582
Sacramento Kings,107,Miami Heat,110,1,120,119,1,105.8,0.577,0.53,0.474,0.29,26.65,85.3,55.25,68.15,8.5,5.5,14.45,113.35,112.25,653.686,4,1462.527309,115.333,113.333,0.667,96.267,0.618,0.578,0.366,0.446,22.433,75.5,49.867,60,7.267,5.867,13.1,119.7,117.8,0,4,1476.477574
Atlanta Hawks,112,New York Knicks,99,0,125.333,122,0.333,100.067,0.669,0.629,0.348,0.322,19.967,73.133,50.133,59.1,9,7.867,13.8,125.367,122.167,340.421,2,1507.729959,105.667,109.333,0.333,93,0.552,0.534,0.356,0.173,29.4,71.833,49.133,62.733,7.833,6.4,12.733,113.567,117.733,403.685,2,1480.231538
Charlotte Hornets,88,Chicago Bulls,106,1,115.667,112.667,0.333,97.5,0.59,0.549,0.467,0.241,17.733,73.267,46.2,58.267,6.867,9.533,9.267,118.367,115.467,589.405,5,1470.342776,128.667,109.667,1,99.9,0.63,0.596,0.511,0.269,23.633,76.467,50.467,65.333,8.667,7.433,9.433,128.767,109.733,715.336,4,1494.758874
Los Angeles Clippers,109,Houston Rockets,101,0,120,125.667,0.333,95.6,0.639,0.612,0.465,0.254,15,73.067,47.167,60.1,3.333,5,13,121.233,127.133,1372.899,4,1486.999069,118,118.5,0.5,101,0.561,0.521,0.383,0.34,31.85,63.9,48.2,42.8,5.5,11.1,12.1,116.8,117.2,1372.899,5,1431.347098
Detroit Pistons,91,Milwaukee Bucks,116,1,111.667,119,0.333,98.567,0.554,0.519,0.428,0.31,27.967,75.967,50.233,64.2,6.467,9.567,11.867,113.933,120.567,0,4,1446.512759,117.667,111.333,0.667,97.233,0.597,0.557,0.267,0.262,23.667,67.1,47.5,41.833,10.167,12.167,12.233,117.433,111.067,0,5,1546.429468
Toronto Raptors,143,San Antonio Spurs,100,0,114.667,112,0.667,97.133,0.614,0.58,0.337,0.224,20.167,73.067,49.667,54.267,6.533,7.667,12.7,118,115.3,1437.232,3,1506.775326,109.667,113.667,0.333,98,0.57,0.532,0.411,0.282,28.9,70.533,49.6,65.433,7.867,8.133,15.767,111.7,116.167,0,4,1505.742025
Utah Jazz,100,Dallas Mavericks,103,1,116.667,109.333,1,98,0.619,0.586,0.489,0.343,18.367,81.533,51.833,69.333,5.033,10.133,12.033,119.1,111.533,998.447,4,1514.816257,112.667,116.333,0.667,97.867,0.609,0.584,0.426,0.318,20.633,79.967,51.133,64.767,3.767,7.233,13.933,115.033,118.9,0,4,1499.377118
Memphis Grizzlies,111,Portland Trail Blazers,106,0,111.333,117,0.333,98.1,0.594,0.559,0.432,0.303,27.633,73.067,51.8,51.667,7.467,7.367,16.1,113.2,119.333,633.88,3,1511.676821,112,103,1,99.933,0.606,0.567,0.312,0.345,13.7,71.8,45.033,59,9.067,13.867,13.167,112.033,103.033,0,4,1510.271573
New Orleans Pelicans,117,Los Angeles Lakers,120,1,103,114,0,100.233,0.488,0.467,0.349,0.23,26.467,83.533,51.9,54.167,8.6,9.367,10.5,102.633,113.567,0,4,1501.370749,123.333,124.667,0,98.433,0.573,0.523,0.4,0.336,28,71.067,48.267,52.733,7.767,5.3,9.167,121.067,122.067,0,4,1466.079924
Golden State Warriors,129,Orlando Magic,130,1,105.667,104.667,1,99.567,0.543,0.512,0.442,0.217,21.533,77.6,48.4,58.433,6.4,5.267,12.7,106.567,105,204.266,3,1456.415188,116.5,109.5,1,99.25,0.579,0.553,0.396,0.274,20.25,82.4,53.5,56.7,6.55,13.95,9.5,117.4,110.5,1057.528,6,1450.206551
Denver Nuggets,122,Oklahoma City Thunder,110,0,113.667,123.667,0.333,93.033,0.602,0.57,0.492,0.322,16.433,73.233,43.233,67.1,3.6,5.633,8.433,121.933,132.167,1180.024,5,1510.056794,116,110.667,0.667,97,0.59,0.545,0.382,0.342,27.867,81.433,54.667,50.3,9.233,9,12.167,119.467,114.1,0,4,1487.454318
Cleveland Cavaliers,112,Detroit Pistons,88,0,118.667,113,0.667,97.333,0.601,0.537,0.468,0.413,28.5,68.1,48.9,59.9,7.867,8.1,11.367,121.933,116.1,91.353,5,1543.851743,108.667,108.667,0,98.5,0.54,0.5,0.388,0.269,18.167,77.3,45.733,65.7,7.733,7.867,8.733,110.233,110.3,251.592,5,1436.229381
Miami Heat,99,Indiana Pacers,101,1,118.333,115.333,0.667,100.633,0.617,0.563,0.436,0.365,30.467,72.767,53.233,58.6,7.033,10.533,16.133,118.133,114.667,1025.831,4,1466.5737,126.333,106,1,100.1,0.654,0.63,0.445,0.311,23.633,83.167,57.833,53.1,4.067,7.967,13.6,125.867,105.7,645.205,3,1479.817417
New York Knicks,106,Philadelphia 76ers,104,0,100.333,121.333,0,95.933,0.518,0.473,0.375,0.265,24.067,64.7,43.4,56.367,8.333,5.5,12.633,104.633,126.5,85.43,2,1489.890535,116.333,115.667,0.667,98.833,0.572,0.52,0.336,0.33,23.467,72.133,47.733,53.4,8.2,8.533,13.167,113.867,112.933,0,3,1468.379289
Brooklyn Nets,128,Washington Wizards,86,0,111.5,122,0,100.15,0.565,0.514,0.324,0.324,20.3,68.3,44.3,62.5,5.45,11.6,11.25,111.7,122.15,203.325,6,1457.990756,112.667,117.667,0.333,98.833,0.586,0.546,0.452,0.272,19.6,70.9,44.9,66.1,8.767,9.567,12.967,113.933,119.1,120.618,4,1472.831663
Chicago Bulls,119,Boston Celtics,123,1,118,103,0.667,98.9,0.602,0.568,0.43,0.252,24.067,81.233,53.933,63.533,5.4,13.033,11.433,119.433,104.033,850.672,5,1485.090646,108.667,107,0.333,97.467,0.506,0.451,0.362,0.304,23.933,72.567,45.333,61.933,9.533,10.7,7.133,108.667,107,549.163,4,1506.29003
Charlotte Hornets,99,Memphis Grizzlies,130,1,113,108.333,0.333,96.7,0.572,0.517,0.481,0.333,26.333,75.967,50.5,59.4,8.9,8.133,11.3,116.733,112.1,483.23,5,1461.70082,124.5,118,0.5,97.2,0.555,0.527,0.413,0.272,33.65,72.65,53.15,54.5,6.35,7.45,8.4,122.4,115.9,1845.928,3,1517.819366
Los Angeles Clippers,113,San Antonio Spurs,106,0,120.333,128,0.333,102.667,0.614,0.583,0.423,0.27,14.867,74.267,47.767,58.2,5.8,5.2,14.133,114.267,121.4,186.136,4,1497.155988,116,110.667,0.333,98.667,0.603,0.566,0.388,0.281,28.5,73.5,51.4,63.733,6.767,7.2,14.667,117.533,112.167,0,5,1492.451461
Toronto Raptors,110,Dallas Mavericks,111,1,122.333,121.667,0.667,99.433,0.639,0.608,0.345,0.283,25.867,72.533,52.067,56.867,6.067,8.3,13.8,122.767,122.233,251.564,4,1496.775265,118.667,119.333,0.667,97.733,0.653,0.612,0.46,0.369,15.9,72.967,46.8,69.767,6.2,6.633,13.233,121.4,122.133,0,5,1506.773193
Golden State Warriors,105,New Orleans Pelicans,114,1,114,117.333,1,101.233,0.553,0.515,0.429,0.288,22.9,73.8,48.4,54.867,3.567,8.767,12.933,108.433,111.8,533.249,5,1447.872908,117,116.5,0.5,93.85,0.608,0.584,0.31,0.226,22.95,67.05,45.95,59.65,7.6,8.5,13.75,118.85,118.2,1670.261,3,1507.424928
Milwaukee Bucks,115,Minnesota Timberwolves,102,0,90,88,1,92.5,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,11.7,97.3,95.1,298.001,5,1554.409534,122.333,119.667,0.333,94.9,0.652,0.592,0.369,0.384,27.733,74.9,51.2,66.233,6.333,5.8,12.867,129,126.233,1278.133,3,1475.271214
Portland Trail Blazers,108,Phoenix Suns,106,0,110.5,106,1,100.7,0.557,0.503,0.32,0.348,26.55,84.4,54.15,51.35,8.45,6.7,13.1,109.7,105.25,1006.302,4,1520.565447,108.667,115,0.667,97.733,0.539,0.472,0.327,0.318,24.567,72.833,47.933,59.5,6.9,6.167,12.5,107.667,114.067,0,4,1520.484715
Utah Jazz,130,Los Angeles Lakers,116,0,117.667,114,0.667,97.533,0.59,0.559,0.489,0.305,19.533,84.833,51.467,69.3,4.767,10.233,8.033,120.567,116.567,1238.262,3,1523.100662,128.667,119,0.333,99.033,0.595,0.539,0.394,0.396,31.433,75.8,53.567,47.033,6.367,9.833,10.933,125.667,115.667,0,4,1454.615052
Sacramento Kings,126,Orlando Magic,123,0,120,124.333,0,101.2,0.538,0.512,0.27,0.213,26.667,76.767,50.233,63.367,7.667,9.2,10.3,111.233,115.3,204.266,3,1471.814943,110.333,105.333,0.333,92.167,0.576,0.55,0.377,0.268,25.767,84.9,56.633,59.2,4.233,10.3,8.467,119.767,114.2,0,5,1437.735182
Brooklyn Nets,98,Charlotte Hornets,94,0,117,110,0.333,98.667,0.598,0.554,0.319,0.268,19.5,74,47.933,63,6.433,12.5,9.767,119.033,111.367,329.683,5,1467.726327,121,110.333,0.667,95.333,0.635,0.604,0.493,0.254,24.733,85.567,56.667,67.4,6.967,7.267,10.333,126.9,115.8,520.056,4,1448.801413
New Orleans Pelicans,121,Atlanta Hawks,124,1,114.667,121,0.333,99.567,0.53,0.501,0.364,0.304,29.1,81.367,52.667,58.933,7.6,6.2,8.733,115.3,121.5,424.845,3,1497.640636,118,110.667,0.667,94.2,0.674,0.642,0.443,0.213,23.433,71.6,51.833,65.567,5.333,13.867,15.733,125.633,117.667,747.935,2,1514.92057
Boston Celtics,133,New York Knicks,118,0,118.667,117.333,0.333,100.1,0.578,0.56,0.354,0.197,25.1,84.533,52.367,55.667,8.467,13.4,10.167,118.633,116.733,188.221,5,1515.464127,105.667,119,0.333,94.167,0.546,0.512,0.323,0.27,25.733,70.867,46.867,61.2,6.033,3.2,11.633,112.1,126.3,85.43,4,1477.529708
Oklahoma City Thunder,94,Milwaukee Bucks,108,1,111,116,0.333,99.267,0.599,0.568,0.355,0.279,12.333,74.467,44.167,62.1,7.1,5.133,13.1,111.833,117.2,732.556,3,1479.510949,118.333,111,0.667,97.833,0.624,0.582,0.266,0.272,24.3,74.333,51.333,41.433,10.967,11.433,13.167,121.1,113.6,298.001,6,1559.942808
Houston Rockets,117,Minnesota Timberwolves,129,1,117.667,125.667,0.333,104.967,0.568,0.528,0.446,0.264,27.4,76.833,49.633,63.7,6.4,7.3,15.033,112.167,119.767,1058.378,6,1422.776456,115.667,113.667,0.333,95.033,0.643,0.592,0.404,0.391,27.867,73.9,51.267,67.533,6.333,6.7,16.133,121.633,119.567,0,4,1481.350487
San Antonio Spurs,101,Denver Nuggets,126,1,116.333,110,1,99.833,0.6,0.551,0.353,0.347,22.767,80.167,52.133,56.7,7,8.033,12.8,116.633,110.267,804.593,5,1483.150994,126.333,116.667,0.667,96.133,0.629,0.602,0.51,0.313,19.133,76,48.667,59.933,5.733,10.2,8.533,127.333,117.567,505.532,5,1516.79546
Portland Trail Blazers,82,Phoenix Suns,102,1,108.333,105,0.667,92.767,0.614,0.579,0.376,0.268,24.8,80.833,54.167,62.5,8.567,8.3,14.6,116.4,113.333,0,4,1510.770351,110.333,109.667,1,96.567,0.573,0.511,0.335,0.311,23.133,79.233,53.4,56.3,6.267,7.233,13.033,110.767,110.033,0,4,1527.685556
Cleveland Cavaliers,114,Los Angeles Lakers,100,0,118,110.667,0.667,97.9,0.593,0.534,0.399,0.367,31.267,72.133,51.9,56.9,8.5,4.7,11.8,120.533,113.067,1980.476,3,1551.062479,127.333,118.333,0.333,100.2,0.575,0.522,0.427,0.356,29.667,78.2,53.5,48.267,7.433,10.267,12.167,119.3,109.767,0,4,1444.305358
Washington Wizards,97,Memphis Grizzlies,103,1,116,118,0.667,97.967,0.597,0.564,0.361,0.268,19.9,78.967,49.267,57.8,6.367,12.8,9.9,118.9,120.767,763.497,6,1464.290266,118,111.667,0.667,98.2,0.617,0.592,0.413,0.251,23.6,83.367,54.867,60.367,5.767,12.067,13.4,120.433,113.7,0,4,1523.872763
Chicago Bulls,104,Toronto Raptors,113,1,117.333,106.667,0.667,97.933,0.587,0.564,0.437,0.163,25.267,80.233,52.167,64.8,6.167,10.633,10.167,120.033,108.867,429.233,6,1475.624809,118,111,0.667,99,0.549,0.517,0.28,0.226,34.9,78.767,56.1,54.933,9.167,7.5,9.933,119.2,112.533,1203.136,5,1503.667053
Utah Jazz,110,Los Angeles Clippers,102,0,124,108.667,0.667,100.1,0.609,0.587,0.496,0.262,18.133,82.3,50.967,70.167,7.033,8.633,6.733,124.1,108.6,0,4,1532.010011,111.333,116.667,0,101.233,0.583,0.542,0.504,0.277,12.333,81.267,45.833,54.1,5.767,6.333,11.933,110.033,115.733,1205.963,4,1485.056208
Washington Wizards,108,Charlotte Hornets,100,0,115,115.667,0.667,99.3,0.567,0.536,0.367,0.219,27.5,77.933,51.3,56.067,7.633,11.2,10.867,116.3,116.867,520.056,5,1473.489693,116.333,112.333,0.333,97.9,0.624,0.597,0.415,0.235,20.833,79.567,52.9,64.6,7.8,10.5,12.967,119.133,114.833,0,3,1436.415851
Houston Rockets,134,Orlando Magic,127,0,112,123.667,0,104.367,0.557,0.519,0.456,0.225,25.533,76.967,49.067,70.933,6.433,8.3,16.1,107.233,118.467,1309.719,4,1432.827275,108.667,102.667,0.333,93.8,0.548,0.514,0.395,0.278,26.6,79.633,53.633,49.967,5.567,5.867,7.933,115.833,109.033,0,5,1424.542089
Oklahoma City Thunder,103,Detroit Pistons,112,1,109.667,115.333,0.333,99.333,0.578,0.543,0.368,0.302,16.867,78.567,46.933,69.367,8.467,6,13.2,110.433,116.467,251.592,3,1468.50982,109.333,111.333,0.333,98.767,0.544,0.515,0.382,0.218,20.533,77.3,46.733,62.033,7.067,9.633,10.1,110.6,112.667,0,4,1444.611243
New Orleans Pelicans,122,Indiana Pacers,129,1,114.333,119.667,0.333,100.733,0.533,0.506,0.337,0.328,34.933,82.867,56.9,60.2,7.833,3.833,11.967,113.767,118.833,426.286,4,1487.348714,118.667,108,0.667,96.867,0.612,0.586,0.413,0.314,21.667,82.367,54.5,51.133,4.8,6.833,10.667,121.933,111.433,0,3,1487.495321
Phoenix Suns,88,Philadelphia 76ers,100,1,111.5,104,0.5,94.25,0.554,0.527,0.37,0.176,24.1,75.55,49.7,69.75,9.4,3.95,12.15,112.7,104.7,2077.552,4,1516.242983,118.667,113.333,0.667,98.733,0.593,0.551,0.311,0.31,26.133,72.133,49.7,54.833,9.233,10.033,13.8,116.367,110.7,0,3,1477.213356
Milwaukee Bucks,98,Atlanta Hawks,117,1,102.5,95,1,97.75,0.545,0.532,0.474,0.248,15.75,84.35,52.1,70.65,5.55,7.05,11.75,104.45,97.05,669.169,4,1548.893496,118.333,112,0.667,94.7,0.675,0.643,0.42,0.244,21.733,69.9,49.667,66.867,5.633,9.667,15.2,125.333,118.467,0,1,1523.35126
Portland Trail Blazers,110,Miami Heat,107,0,109,111,0.333,95.167,0.6,0.564,0.351,0.257,20.633,75.367,49.2,60.3,8.4,10.067,13.733,114.267,116.8,1978.514,3,1519.178271,113,113.667,0.333,95.6,0.555,0.529,0.439,0.298,29.133,75.133,51.933,58.367,6.767,7.967,12.2,114.4,115.267,1025.831,5,1454.981221
Toronto Raptors,97,Chicago Bulls,111,1,120.667,124,0.667,98.1,0.605,0.572,0.351,0.312,29.867,78.067,53.867,57.533,5.467,5.133,11.833,122.933,126.567,437.865,5,1493.089625,127,110,0.667,99.333,0.641,0.609,0.501,0.263,19.633,79,50.567,60.8,6.7,8.7,9.7,127.767,110.7,437.865,5,1483.582812
Boston Celtics,109,Memphis Grizzlies,106,0,117.667,109.667,0.667,95.467,0.57,0.549,0.355,0.159,30.733,88.533,56.3,53.5,8.133,11.267,7.433,123.767,114.567,955.153,4,1525.331329,123.333,116.667,0.667,96.2,0.644,0.625,0.424,0.212,22.6,78.233,51.867,60.2,4.867,12.2,10.867,128.167,121.167,0,5,1510.84998
New York Knicks,120,Minnesota Timberwolves,107,0,103.333,118,0.333,95.567,0.568,0.528,0.398,0.283,21.733,66.3,44.967,63.067,5.867,5.333,14.967,108.267,123.4,1016.588,4,1487.268379,116.333,115.667,0.333,94.533,0.649,0.597,0.382,0.392,27.5,75.833,52.5,60.4,7.033,7.767,15.433,122.967,122.267,0,4,1468.448161
Denver Nuggets,115,San Antonio Spurs,109,0,107.333,114.333,0.333,92,0.573,0.534,0.496,0.316,20.167,71.633,44.6,70.167,4.733,5.667,9.7,116.467,123.633,804.593,5,1525.492411,110,110,0,98.9,0.562,0.516,0.388,0.304,23.933,78.1,48.633,63.267,6.733,6.967,12.9,111.333,111.267,804.593,4,1471.264015
Brooklyn Nets,94,Dallas Mavericks,96,1,108.333,96.667,0.667,97.1,0.563,0.511,0.351,0.256,17.467,74.9,47,67.1,7.933,16.167,9.9,111.833,99.333,929.079,4,1459.021287,122.667,116,1,100.267,0.66,0.629,0.443,0.351,15.4,75.633,47.767,68.433,7.033,7.067,13.5,122.467,115.8,0,3,1512.971915
Sacramento Kings,113,Golden State Warriors,116,1,119.333,121.333,0.333,101.3,0.554,0.518,0.263,0.288,30.467,79.3,53.933,54.4,7.333,9.267,11.4,114.067,115.967,2435.353,2,1461.35197,115,124,0.333,98.3,0.586,0.534,0.33,0.361,27.1,83.667,54.033,52.567,7.467,2.667,11.433,117.067,126.2,1920.032,4,1455.718096
Los Angeles Lakers,116,Utah Jazz,139,1,111.667,114.333,0.667,94.467,0.568,0.541,0.431,0.308,29.167,83.8,56.033,53.3,7.467,6.233,9.9,118.267,121.067,581.04,6,1436.913871,123.667,119.667,0.333,97.333,0.6,0.547,0.404,0.352,24.133,71.667,47.633,56.967,7.133,4.367,6.6,126.933,122.9,581.04,3,1537.078183
